Paper_ID,Section,Extraction
P0001,Weaknesses,[GAP-ready: supported by P0001] **Not face-related** — focuses on industrial defects.
P0001,Weaknesses,[GAP-ready: supported by P0001] **Domain-specific** — limited relevance to face detection.
P0001,Research Gap,Not directly relevant to face detection research gaps.
P0001,Future Work,Extension to other defect types; real-time generation.
P0002,Weaknesses,[GAP-ready: supported by P0002] **Small dataset** limits conclusions.
P0002,Weaknesses,[GAP-ready: supported by P0002] **Limited GAN architectures tested** — generalization unknown.
P0002,Weaknesses,[GAP-ready: supported by P0002] **No cross-dataset evaluation**.
P0002,Weaknesses,[GAP-ready: supported by P0002] **No explainability or robustness analysis**.
P0002,Research Gap,[GAP-ready: supported by P0002] Small-scale comparisons may not reflect real-world performance.
P0002,Research Gap,[GAP-ready: supported by P0002] Architecture comparison needs to include Transformers and self-supervised approaches.
P0002,Future Work,Larger datasets; more architectures; cross-dataset generalization; robustness testing.
P0003,Weaknesses,"[GAP-ready: supported by P0003] **Focused on diffusion models only** — not tested on GAN-generated images, leaving GAN detection capability unknown."
P0003,Weaknesses,"[GAP-ready: supported by P0003] **Limited robustness to heavy post-processing** — aggressive JPEG compression, significant resizing, or social media re-encoding can destroy the spectral artifacts."
P0003,Weaknesses,[GAP-ready: supported by P0003] **Not face-specific** — the method operates on general images; face-specific artifacts are not exploited.
P0003,Weaknesses,"[GAP-ready: supported by P0003] **Frequency-domain only** — spatial-domain artifacts (texture inconsistencies, semantic anomalies) are not captured."
P0003,Weaknesses,[GAP-ready: supported by P0003] **Binary detection only** — no source attribution (which diffusion model generated the image).
P0003,Research Gap,[GAP-ready: supported by P0003] Unified frequency-based detection covering both GAN and diffusion models is missing.
P0003,Research Gap,[GAP-ready: supported by P0003] Robustness of spectral methods to social media pipelines needs investigation.
P0003,Research Gap,[GAP-ready: supported by P0003] Combining frequency-domain evidence with spatial/semantic evidence for stronger detection is under-explored.
P0003,Future Work,Extending to GAN detection (testing whether GANs leave similar spectral artifacts).
P0003,Future Work,Improving robustness to social media compression pipelines.
P0003,Future Work,Real-time deployment integration.
P0003,Future Work,Combining with deep learning methods for hybrid detection.
P0004,Weaknesses,"[GAP-ready: supported by P0004] **Focus on privacy, not detection** — not relevant to detection research."
P0004,Weaknesses,[GAP-ready: supported by P0004] **Blockchain adds complexity** without clear detection benefit.
P0004,Research Gap,Not directly relevant to detection research gaps.
P0004,Future Work,Integration with detection systems; scalability analysis.
P0005,Weaknesses,"[GAP-ready: supported by P0005] **Limited to GAN-generated images** — not tested on diffusion models, which use fundamentally different generation processes."
P0005,Weaknesses,[GAP-ready: supported by P0005] **Relies on specific GAN architectural traces** (transposed convolution artifacts) — GANs that don't use transposed convolution may not be detected.
P0005,Weaknesses,"[GAP-ready: supported by P0005] **Robustness to post-processing not extensively evaluated** — compression, resizing, and noise injection may destroy the subtle traces."
P0005,Weaknesses,[GAP-ready: supported by P0005] **Dataset is limited to CelebA-derived faces** — generalization to other face distributions unknown.
P0005,Research Gap,[GAP-ready: supported by P0005] Convolutional trace analysis for diffusion models (which don't use transposed convolution) is unexplored.
P0005,Research Gap,[GAP-ready: supported by P0005] Robustness of EM-based trace extraction to real-world perturbations needs investigation.
