Candidate ID, Name, Source, URL, License seen, Availability, Duplicate-of, Notes, Owner, Version, Status, Created, Updated
CAND0001,DiFF (Diffusion Facial Forgery Dataset),GitHub / ACM MM 2024,https://github.com/HarryCheng2000/DiFF,CC BY-NC 4.0,Public,None,500k+ images from 13 diffusion generation methods (SD v1.4/1.5/2.1/XL Midjourney DALL-E 2/3 IF LDM) + 23k real images from VoxCeleb2 & CelebA. Essential for diffusion evaluation (E9). Cited in P0023.,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0002,Synthbuster Dataset,Zenodo / IEEE OJSP 2024,https://zenodo.org/records/10066048,CC BY 4.0,Public,None,9k synthetic images from 9 diffusion models (DALL-E 2/3 SD 1.3/1.4/2/XL GLIDE Midjourney v5 Firefly) + RAISE-1k uncompressed real images. Cited in P0003.,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0003,FaceForensics++ (FF++),GitHub / TUM,https://github.com/ondyari/FaceForensics,Custom Academic / Non-Commercial,Restricted,None,1k video sequences with face manipulations (Deepfakes Face2Face FaceSwap NeuralTextures FaceShifter). Standard baseline cited in P0005 P0007 P0022 P0028.,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0004,Celeb-DF v2,GitHub / SUNY Albany,https://github.com/yuezunli/celeb-deepfakeforensics,Custom Academic / Non-Commercial,Restricted,None,5954 video clips (890 real 5064 fake) with high-quality face swaps mitigating color artifacts. Key cross-dataset benchmark cited in P0007.,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0005,DFDC (DeepFake Detection Challenge Dataset),Kaggle / Meta AI,https://www.kaggle.com/c/deepfake-detection-challenge,Kaggle Competition License / CC BY 4.0,Public,None,100k+ video clips with diverse facial synthesis and swap algorithms across diverse demographics. Cited in P0007 P0014.,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0006,CelebA-HQ,Kaggle / MMLab CUHK,https://github.com/switchablenorms/CelebAMask-HQ,Custom Non-Commercial Academic,Public,None,30k high-resolution (1024x1024) real celebrity face images used as real baseline across GAN training and testing in P0005 P0015 P0023.,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0007,Flickr-Faces-HQ (FFHQ),GitHub / NVlabs,https://github.com/NVlabs/ffhq-dataset,Creative Commons BY-NC-SA 4.0,Public,None,70k high-quality human face PNG images at 1024x1024. Canonical real baseline for StyleGAN/StyleGAN2/StyleGAN3 (P0005 P0025).,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0008,StyleGAN / StyleGAN2 Generated Faces (100k-Fake),Hugging Face / NVlabs,https://huggingface.co/datasets/pysqldb/stylegan2-ffhq-1024x1024,CC BY-NC 4.0,Public,None,Synthetic face images generated using StyleGAN/StyleGAN2 trained on FFHQ. Standard GAN fake benchmark evaluated in P0005 P0010 P0015 P0021.,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0009,AI-Face-FairnessBench,Hugging Face / ACM 2026,https://github.com/altamimi-omar/AI-Face-FairnessBench,MIT License,Public,None,Comparative benchmark dataset containing real GAN-generated and Diffusion-generated face images with demographic balance. Cited in P0016.,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0010,Real and Fake Face Detection Dataset,Kaggle,https://www.kaggle.com/datasets/xhlulu/140k-real-and-fake-faces,CC BY-NC-SA 4.0,Public,None,70k real faces (FFHQ) and 70k fake faces (StyleGAN). Cited in P0002 P0011.,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0011,Augmented Real and Fake Face Detection Dataset,Kaggle,https://www.kaggle.com/datasets/ciplak/real-and-fake-face-detection,CC BY-SA 4.0,Public,CAND0010,2041 small augmented subset derived from StyleGAN/LFW (1081 real 960 fake). Flagged as duplicate/subset of CAND0010. Cited in P0002.,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0012,Guarnera Multi-Generator Face Dataset,Project Site / IPLab Unict,https://iplab.dmi.unict.it/mfd/,Custom Academic / Non-Commercial,Restricted,None,83k images balanced across real faces and 13 generators (9 GANs: ProGAN StyleGAN StyleGAN2 StyleGAN3 StarGAN AttGAN GDWCT GauGAN CycleGAN + 4 Diffusion: SD1.5 SD2.1 SDXL Midjourney). Cited in P0005 P0010 P0014 P0018.,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0013,FakeAVCeleb,GitHub / Kaggle,https://github.com/DVF-Lab/FakeAVCeleb,CC BY 4.0,Public,None,20k+ audio-video deepfake dataset generated via SV2TTS Wav2Lip FSGAN. Multi-modal benchmark cited in P0007.,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0014,CIFAKE: Real and AI-Generated Synthetic Images,Kaggle,https://www.kaggle.com/datasets/birdy654/cifake-real-and-ai-generated-synthetic-images,CC0: Public Domain,Public,None,120k images (60k real 60k Stable Diffusion v1.4 fake). General synthetic benchmark cited in P0021.,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0015,RAISE (Random Access Image Series Evaluator),Project Site / Zenodo,http://raw-images.org/,CC BY-NC-SA 4.0,Public,None,8156 uncompressed camera-native real images serving as pristine uncompressed baseline in Synthbuster (P0003).,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0016,VoxCeleb2 (Face Crops),VGG Oxford / GitHub,https://www.robots.ox.ac.uk/~vgg/data/voxceleb/vox2.html,CC BY 4.0,Public,None,1M+ face video tracks from 6112 speakers. Used as real face source in DiFF (P0023) and cross-dataset testing.,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
CAND0017,Artifact Dataset,Hugging Face / OpenML,https://huggingface.co/datasets/art-artifact/artifact,MIT License,Public,None,2.5M images across 25 categories (real & synthetic from 13 generators: ProGAN StyleGAN2 StyleGAN3 SDv1.4 SDv1.5 SDv2.1 Midjourney VQKD). Comprehensive artifact benchmark.,Dataset Discovery Agent,1.0,Active,2026-07-31,2026-07-31
