Candidate ID,Name,Dataset Size,Image Quality,Resolution,Label Quality,Metadata Quality,Class Balance,License,Source Credibility,Research Popularity,Citation Count,Top-Conference Use,Availability,Maintenance,Bias,Explainability Suitability,Generalization Suitability,Total Score,Rank,Category,Recommendation,Notes
CAND0017,Artifact Dataset (Face Subset),5,4,4,3,3,4,5,3,3,2,3,5,3,3,5,5,64,1,Multi-Generator (GAN+Diffusion),PRIMARY-TRAIN,"2.5M images across 25 categories from 13 generators (ProGAN StyleGAN2 StyleGAN3 SDv1.4 SDv1.5 SDv2.1 Midjourney VQKD). MIT License. Fully public on HuggingFace. Subsampled to 50k face subset for lightweight Kaggle GPU training."
CAND0001,DiFF (Diffusion Facial Forgery Dataset),5,4,4,4,4,3,3,5,4,4,5,5,4,3,5,5,67,2,Multi-Generator (Diffusion),PRIMARY-EVAL,"500k+ images from 13 diffusion methods + real. Published ACM MM 2024. Publicly available via GitHub/Drive. Essential for E9 unseen diffusion model evaluation."
CAND0010,Real and Fake Face Detection (140k),4,4,4,4,3,5,3,4,4,3,4,5,3,3,4,2,59,3,GAN-Focused,QUICK-BASELINE,"70k real (FFHQ) + 70k fake (StyleGAN). Hosted directly on Kaggle with instant public access. Selected for fast ResNet-34 baseline training for board presentation."
CAND0002,Synthbuster Dataset,3,5,4,4,4,3,5,5,4,3,5,5,4,3,4,4,65,4,Diffusion-Focused,SUPPLEMENTARY-FREQUENCY,"9k synthetic from 9 diffusion models + RAISE-1k uncompressed real. CC BY 4.0. Fully public on Zenodo. Ideal for frequency-domain evidence evaluation."
CAND0009,FairFace (Replaces AI-Face-FairnessBench per DEC0005),4,4,3,5,5,5,5,5,5,5,5,5,4,5,4,4,69,5,Fairness/Bias,SUPPLEMENTARY-BIAS,"108k real faces with 7 race groups + gender + age annotations. CC BY 4.0. Public on GitHub/Kaggle. Gold-standard fairness benchmark (WACV 2021 400+ citations). Replaces EULA-restricted AI-Face-FairnessBench. Used for bias evaluation of detector false-positive rates across demographics."
CAND0012,Guarnera Multi-Generator Face Dataset,4,4,4,4,4,4,3,5,4,4,5,1,4,3,5,5,63,6,Multi-Generator (GAN+Diffusion),EXCLUDE-RESTRICTED,"83k images across 13 generators. Host site (iplab.dmi.unict.it) non-functional / restricted access form. Excluded under strict Public-Only policy."
CAND0007,Flickr-Faces-HQ (FFHQ),5,5,5,4,4,5,3,5,5,5,5,4,3,3,5,2,68,7,Real Baseline,REDUNDANT,"70k real faces 1024x1024. Public baseline. Real faces already captured via Artifact and DiFF real subsets."
CAND0006,CelebA-HQ,4,5,5,4,4,5,3,5,5,5,5,4,3,3,5,2,67,8,Real Baseline,REDUNDANT,"30k real faces. Redundant with real subsets in Artifact and DiFF."
CAND0008,StyleGAN/StyleGAN2 Generated Faces,5,4,5,4,3,5,3,5,5,5,5,4,3,3,4,2,65,9,GAN-Focused,REDUNDANT,"Synthetic faces from StyleGAN/StyleGAN2. Redundant with CAND0010 and Artifact."
CAND0014,CIFAKE: Real and AI-Generated Synthetic Images,4,3,2,4,3,5,5,3,3,3,3,5,3,3,3,2,54,10,Diffusion-Focused,EXCLUDE,"120k images. CC0 Public Domain. Low resolution (32x32). Unsuitable for high-res face forensics."
CAND0003,FaceForensics++ (FF++),4,4,4,5,5,4,3,5,5,5,5,2,4,3,4,1,63,11,Video/Manipulation,EXCLUDE-SCOPE,"Standard face manipulation benchmark (face swaps). Out of V1 scope (face generation detection). Restricted access."
CAND0005,DFDC (DeepFake Detection Challenge),5,3,3,4,4,4,4,5,5,5,5,5,3,4,3,1,63,12,Video/Manipulation,EXCLUDE-SCOPE,"100k+ video clips. Face swaps/video manipulation. Out of V1 scope."
CAND0004,Celeb-DF v2,3,4,4,4,4,4,3,5,5,5,5,3,3,3,3,1,59,13,Video/Manipulation,EXCLUDE-SCOPE,"5954 video clips with face swaps. Out of V1 scope."
CAND0013,FakeAVCeleb,3,3,3,4,3,4,5,4,3,3,4,4,3,3,3,1,53,14,Video/Manipulation,EXCLUDE-SCOPE,"Multi-modal audio-video deepfakes. Out of V1 scope."
CAND0015,RAISE (Random Access Image Series Evaluator),3,5,5,3,3,1,3,4,3,3,3,4,2,3,5,1,51,15,Real Baseline (Raw),SUPPLEMENTARY,"8156 uncompressed real images. Captured inside Synthbuster real subset."
CAND0016,VoxCeleb2 (Face Crops),5,3,3,3,3,4,5,5,4,5,5,4,3,3,3,1,59,16,Real Baseline (Video),SUPPLEMENTARY,"1M+ face tracks. Captured inside DiFF real subset."
CAND0011,Augmented Real and Fake Face Detection,1,3,3,3,2,4,4,2,2,1,2,4,2,3,2,1,39,17,Duplicate,EXCLUDE,"2041 images — tiny duplicate of CAND0010."
